,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.4016110610894737,0.22197560730900892,0.3518790108512395,0.4227448200801012,0.1735210267284135,R
1,0.8887178202745554,0.5198564366507049,0.9615647264721032,0.5261581961072738,0.6211611782096794,M
2,0.43232119096397276,0.16280440535368662,0.4695447344322276,0.48394062559015877,0.30525763241123494,R
3,0.028552326060931683,0.46109875694436,0.4734327845469268,0.4491306449161127,0.3629951884546346,R
4,0.1338317820352159,0.3160799570928488,0.43442786840340875,0.16928609671668177,0.17743131858775038,R
5,0.9048279425468344,0.5024826798514531,0.6083967802503254,0.6200449727540093,0.6146257781377389,M
6,0.763946910390815,0.9818782765209129,0.9754843721065374,0.4615951767920342,0.7374334973292127,M
7,0.7407673945952489,0.6793401384738058,0.4799827812438336,0.6611251085566306,0.6992666856987553,M
8,0.23653093763856617,0.4993406435441717,0.5689954649141703,0.3077886745714204,0.10560855724919425,R
9,0.4857473423815446,0.7956778063475937,0.6910827710012449,0.6194510403397846,0.7260168976350615,M
10,0.4055164554698146,0.028007998058714244,0.1154503192393463,0.1238706439615277,0.2613569846922498,R
11,0.595484342836522,0.7642956955048308,0.5548882122723242,0.8897901066373538,0.848823823009035,M
12,0.17736907655919185,0.39137500207265574,0.0475110585143712,0.45692126707347963,0.008420677227473295,R
13,0.8599454526826606,0.7014378614498815,0.7621797860598043,0.45978059998361154,0.7127607868509431,M
14,0.831098375937731,0.5979636951252255,0.6399627095080829,0.553475199632237,0.9396451521780544,M
15,0.40627760716606676,0.1117499548898446,0.5581625100951014,0.21866808927786613,0.22621298585970112,R
16,0.8324384840015109,0.8375354225960836,0.6250479997874822,0.6639004422479592,0.5368454548277588,M
17,0.25393499024367766,0.48223844085282874,0.10684708006687163,0.12629430238854275,0.0742926572505045,R
18,0.7881334031389371,0.5662265869232469,0.6750282016690411,0.7969675294703819,0.6196110877567631,M
19,0.18626354451279378,0.19024899633675857,0.04831426050503725,0.3363974773787641,0.4206339999002991,R
20,0.6517373955508532,0.968865971694475,0.6122288140287335,0.7121949297591688,0.9064221626540316,M
21,0.45549080510352663,0.6660512805713085,0.8062817335701197,0.6195811707551704,0.53233326969601,M
22,0.4672346704968593,0.581898984957935,0.7070804619213269,0.71210361992027,0.9786380994298685,M
23,0.8744884318331398,0.9133529338220565,0.518237671598466,0.9747933575165191,0.7324029194328854,M
24,0.470556519063166,0.49923324460010293,0.909016044647125,0.995654272513478,0.8901361618949206,M
25,0.5266585055758689,0.6078828444832333,0.9062162016958029,0.4719836454497748,0.4985602182828366,M
